Timestamp,Open,High,Low,Close,Volume
2026-08-22 21:30:00,76978.83,77228.99,76956.36,77190.0,219.1306
2026-08-22 20:30:00,77003.62,77100.77,76880.0,76978.83,465.28762
2026-08-22 19:30:00,77288.62,77305.14,76930.0,77003.62,534.05012
2026-08-22 18:30:00,77300.27,77362.03,77116.0,77288.62,471.5874
2026-08-22 17:30:00,77130.01,77387.99,77073.86,77300.27,529.84412
2026-08-22 16:30:00,76976.01,77204.68,76772.05,77130.02,729.38003
2026-08-22 15:30:00,77062.0,77187.46,76533.87,76976.0,1058.83574
2026-08-22 14:30:00,77210.55,77395.04,76851.25,77061.99,1089.30988
2026-08-22 13:30:00,77289.18,77445.6,77037.42,77210.55,870.47609
2026-08-22 12:30:00,77486.09,77669.28,77220.0,77289.18,634.34953
